tag_id,Tag Class/Domain:Tag Name,Tag ID
100240012,Generic Data Domain.Payment Information:Digital Security Question:TG100240012,TG100240012
100240011,Generic Data Domain.Payment Information:Digital Security Token:TG100240011,TG100240011
100240013,Generic Data Domain.Payment Information:Digital Signature:TG100240013,TG100240013
100240014,Generic Data Domain.Payment Information:Digital Wallet Password:TG100240014,TG100240014
100240001,Generic Data Domain.Payment Information:Payment Card Chip Id:TG100240001,TG100240001
100240017,Generic Data Domain.Payment Information:Payment Card ExpirationDate:TG100240017,TG100240017
100240002,Generic Data Domain.Payment Information:Payment Card Magstrip:TG100240002,TG100240002
100240004,Generic Data Domain.Payment Information:Payment Card SecurityCode:TG100240004,TG100240004
100240005,Generic Data Domain.Payment Information:Payment Method:TG100240005,TG100240005
100240006,Generic Data Domain.Payment Information:Purchase History:TG100240006,TG100240006
100240007,Generic Data Domain.Payment Information:Virtual Wallet AccountInfo:TG100240007,TG100240007
100240008,Generic Data Domain.Payment Information:Virtual Wallet Token:TG100240008,TG100240008
100240009,Generic Data Domain.Payment Information:Virtual Wallet Transhistory:TG100240009,TG100240009
100250002,Generic Data Domain.Phone:Phone Number:TG100250002,TG100250002
100250001,Generic Data Domain.Phone:Phone Number Landline:TG100250001,TG100250001
100250003,Generic Data Domain.Phone:Phone Number Work:TG100250003,TG100250003
100080001,Generic Data Domain.Professional Background:Certifications:TG100080001,TG100080001
100080006,Generic Data Domain.Professional Background:Company Name:TG100080006,TG100080006
100080002,Generic Data Domain.Professional Background:Employer :TG100080002,TG100080002
100080003,Generic Data Domain.Professional Background:Employment History:TG100080003,TG100080003
100080004,Generic Data Domain.Professional Background:Employment Type:TG100080004,TG100080004
100080005,Generic Data Domain.Professional Background:Professional Membership:TG100080005,TG100080005
100260003,Generic Data Domain.Smart Device:Device Details:TG100260003,TG100260003
100260005,Generic Data Domain.Smart Device:Device Location NonPrecise:TG100260005,TG100260005
100260004,Generic Data Domain.Smart Device:Device Location Precise:TG100260004,TG100260004
100260002,Generic Data Domain.Smart Device:Device Serial Number:TG100260002,TG100260002
100260001,Generic Data Domain.Smart Device:IP Address:TG100260001,TG100260001
100270005,Generic Data Domain.Subsciption Preferences:In App Purchase:TG100270005,TG100270005
100270003,Generic Data Domain.Subsciption Preferences:Mobile Carrier Plan:TG100270003,TG100270003
100270001,Generic Data Domain.Subsciption Preferences:Preference Setting:TG100270001,TG100270001
100270002,Generic Data Domain.Subsciption Preferences:Service Subscription:TG100270002,TG100270002
100270004,Generic Data Domain.Subsciption Preferences:Warranty Related Purchase:TG100270004,TG100270004
100280003,Generic Data Domain.Vehicle Identifiers:Fleet Identification Number:TG100280003,TG100280003
100280002,Generic Data Domain.Vehicle Identifiers:Registration Number:TG100280002,TG100280002
100280001,Generic Data Domain.Vehicle Identifiers:VIN:TG100280001,TG100280001
100290001,Generic Data Domain.Vehicle Service History:Dealer Code :TG100290001,TG100290001
0,No Applicable Tag,TG000000000
